Date,Total
1/1/2004,271.9
1/2/2004,271.9
1/3/2004,270.9
1/4/2004,270.9
1/5/2004,270.8
1/6/2004,269.8
1/7/2004,269.8
1/8/2004,268.7
1/9/2004,267.7
1/10/2004,267.7
1/11/2004,266.6
1/12/2004,265.6
13-01-2004,264.6
14-01-2004,263.5
15-01-2004,262.5
16-01-2004,261.4
17-01-2004,259.4
18-01-2004,257.4
19-01-2004,255.4
20-01-2004,253.4
21-01-2004,250.3
22-01-2004,247.3
23-01-2004,245.3
24-01-2004,242.3
25-01-2004,240.2
26-01-2004,237.2
27-01-2004,235.9
28-01-2004,234.9
29-01-2004,231.9
30-01-2004,229.9
31-01-2004,227.8
2/1/2004,224.8
2/2/2004,222.8
2/3/2004,220.7
2/4/2004,217.7
2/5/2004,215.7
2/6/2004,213.6
2/7/2004,210.6
2/8/2004,208.6
2/9/2004,206.5
2/10/2004,204.5
2/11/2004,201.5
2/12/2004,199.4
13-02-2004,197.4
14-02-2004,195.4
15-02-2004,193.3
16-02-2004,190.3
17-02-2004,188.2
18-02-2004,186.3
19-02-2004,183.5
20-02-2004,181.8
21-02-2004,179.8
22-02-2004,176.8
23-02-2004,174.7
24-02-2004,172.7
25-02-2004,169.7
26-02-2004,167.6
27-02-2004,165.6
28-02-2004,162.5
29-02-2004,160.5
3/1/2004,157.4
3/2/2004,155.4
3/3/2004,153.3
3/4/2004,151.3
3/5/2004,149.2
3/6/2004,147.2
3/7/2004,145.2
3/8/2004,143.1
3/9/2004,143.96
3/10/2004,145.9
3/11/2004,148.4
3/12/2004,152.4
13-03-2004,156.2
14-03-2004,162.4
15-03-2004,168.7
16-03-2004,174.9
17-03-2004,180.5
18-03-2004,184.2
19-03-2004,185.7
20-03-2004,185.6
21-03-2004,185.3
22-03-2004,184.2
23-03-2004,184.9
24-03-2004,186.2
25-03-2004,188.5
26-03-2004,190.6
27-03-2004,192.4
28-03-2004,193.8
29-03-2004,195.1
30-03-2004,195.7
31-03-2004,196.7
4/1/2004,197.9
4/2/2004,199.2
4/3/2004,200
4/4/2004,199.9
4/5/2004,199.2
4/6/2004,197.3
4/7/2004,195.4
4/8/2004,194.1
4/9/2004,193.6
4/10/2004,194
4/11/2004,194.2
4/12/2004,193.4
13-04-2004,192.5
14-04-2004,191.4
15-04-2004,190.3
16-04-2004,188.3
17-04-2004,185.9
18-04-2004,183.5
19-04-2004,181.2
20-04-2004,178.8
21-04-2004,176.2
22-04-2004,173.8
23-04-2004,171.7
24-04-2004,169.6
25-04-2004,167.4
26-04-2004,165.2
27-04-2004,163.3
28-04-2004,161.1
29-04-2004,159.1
30-04-2004,156.9
5/1/2004,154.8
5/2/2004,152.6
5/3/2004,150.7
5/4/2004,152.5
5/5/2004,153.7
5/6/2004,158.2
5/7/2004,161.6
5/8/2004,163.8
5/9/2004,164.9
5/10/2004,165
5/11/2004,164.8
5/12/2004,163.3
13-05-2004,161.4
14-05-2004,159.4
15-05-2004,157.3
16-05-2004,155.1
17-05-2004,155.8
18-05-2004,156.3
19-05-2004,154.9
20-05-2004,153.1
21-05-2004,151.6
22-05-2004,150
23-05-2004,148.5
24-05-2004,147.2
25-05-2004,145.5
26-05-2004,143.6
27-05-2004,140
28-05-2004,139.5
29-05-2004,139
30-05-2004,137
31-05-2004,135.4
6/1/2004,134.6
6/2/2004,133.3
6/3/2004,132.1
6/4/2004,130.9
6/5/2004,129.7
6/6/2004,128.5
6/7/2004,127.3
6/8/2004,126.6
6/9/2004,126.6
6/10/2004,125.9
6/11/2004,125.6
6/12/2004,125.3
13-06-2004,124.8
14-06-2004,124.3
15-06-2004,123.7
16-06-2004,123.1
17-06-2004,122.5
18-06-2004,121.9
19-06-2004,121.3
20-06-2004,120.7
21-06-2004,120.1
22-06-2004,119.5
23-06-2004,118.9
24-06-2004,118.2
25-06-2004,117.6
26-06-2004,117
27-06-2004,116.4
28-06-2004,115.8
29-06-2004,115.2
30-06-2004,114.7
7/1/2004,114.1
7/2/2004,113.5
7/3/2004,112.5
7/4/2004,111.8
7/5/2004,110.7
7/6/2004,109.9
7/7/2004,109.1
7/8/2004,108
7/9/2004,107
7/10/2004,106
7/11/2004,105
7/12/2004,103.9
13-07-2004,103
14-07-2004,101.5
15-07-2004,98.4
16-07-2004,95.4
17-07-2004,92.4
18-07-2004,89.3
19-07-2004,86.3
20-07-2004,83.2
21-07-2004,80.1
22-07-2004,77.5
23-07-2004,74.8
24-07-2004,72.1
25-07-2004,69.4
26-07-2004,67.1
27-07-2004,64.5
28-07-2004,61.8
29-07-2004,59.4
30-07-2004,57
31-07-2004,54.5
8/1/2004,52.1
8/2/2004,49.6
8/3/2004,47.1
8/4/2004,44.7
8/5/2004,42.2
8/6/2004,39.8
8/7/2004,37.3
8/8/2004,34.8
8/9/2004,32.4
8/10/2004,29.9
8/11/2004,2.8
8/12/2004,2.7
13-08-2004,2.7
14-08-2004,2.7
15-08-2004,2.6
16-08-2004,2.6
17-08-2004,2.5
18-08-2004,2.4
19-08-2004,2.4
20-08-2004,2.3
21-08-2004,2.2
22-08-2004,2.1
23-08-2004,2
24-08-2004,1.9
25-08-2004,1.8
26-08-2004,1.7
27-08-2004,1.6
28-08-2004,1.5
29-08-2004,1.4
30-08-2004,1.3
31-08-2004,1.3
9/1/2004,1.2
9/2/2004,1.1
9/3/2004,1
9/4/2004,0.9
9/5/2004,0.9
9/6/2004,1.7
9/7/2004,1.7
9/8/2004,1.9
9/9/2004,1.9
9/10/2004,2.5
9/11/2004,2.5
9/12/2004,2.4
13-09-2004,2.3
14-09-2004,2.15
15-09-2004,2.1
16-09-2004,2
17-09-2004,2
18-09-2004,1.9
19-09-2004,1.8
20-09-2004,3.2
21-09-2004,4.5
22-09-2004,5.4
23-09-2004,6.5
24-09-2004,7.7
25-09-2004,8.9
26-09-2004,9.8
27-09-2004,10.7
28-09-2004,11.7
29-09-2004,12.2
30-09-2004,13.7
10/1/2004,14.2
10/2/2004,15.3
10/3/2004,17.1
10/4/2004,17.7
10/5/2004,18.3
10/6/2004,18.6
10/7/2004,18.6
10/8/2004,18.6
10/9/2004,18.5
10/10/2004,18.4
10/11/2004,18.9
10/12/2004,19.2
13-10-2004,19.2
14-10-2004,19.2
15-10-2004,19.1
16-10-2004,19
17-10-2004,18.9
18-10-2004,19.9
19-10-2004,20.3
20-10-2004,20.5
21-10-2004,21
22-10-2004,22.2
23-10-2004,22.9
24-10-2004,23.4
25-10-2004,23.4
26-10-2004,24.8
27-10-2004,27.7
28-10-2004,29.8
29-10-2004,33.1
30-10-2004,70.4
31-10-2004,144.77
11/1/2004,296.6
11/2/2004,405
11/3/2004,413.4
11/4/2004,420.6
11/5/2004,421.6
11/6/2004,574.43
11/7/2004,769.5
11/8/2004,986.8
11/9/2004,1197.2
11/10/2004,1243.7
11/11/2004,1256.1
11/12/2004,1259
13-11-2004,1500.4
14-11-2004,1630.7
15-11-2004,1660.8
16-11-2004,1677.4
17-11-2004,1688.3
18-11-2004,1689.1
19-11-2004,1687.9
20-11-2004,1684.7
21-11-2004,1680.7
22-11-2004,1676.7
23-11-2004,1672.7
24-11-2004,1667.7
25-11-2004,1661.9
26-11-2004,1657.7
27-11-2004,1676.6
28-11-2004,1684.1
29-11-2004,1700
30-11-2004,1733.6
12/1/2004,1769.2
12/2/2004,1803
12/3/2004,1835.3
12/4/2004,1869.3
12/5/2004,1900.4
12/6/2004,1933.7
12/7/2004,1964.8
12/8/2004,1995.1
12/9/2004,2018.5
12/10/2004,2039.9
12/11/2004,2065.1
12/12/2004,2092.1
13-12-2004,2105.9
14-12-2004,2121.2
15-12-2004,2142.8
16-12-2004,2154.2
17-12-2004,2165.8
18-12-2004,2176.3
19-12-2004,2188.8
20-12-2004,2200
21-12-2004,2209.4
22-12-2004,2215.9
23-12-2004,2221.9
24-12-2004,2228.4
25-12-2004,2235.4
26-12-2004,2240.4
27-12-2004,2247.4
28-12-2004,2260.4
29-12-2004,2264.7
30-12-2004,2264.1
31-12-2004,2263.9
1/1/2005,2263.4
1/2/2005,2261.9
1/3/2005,2261.4
1/4/2005,2262.7
1/5/2005,2269.6
1/6/2005,9999
1/7/2005,2297.6
1/8/2005,2316.6
1/9/2005,2332
1/10/2005,2347.5
1/11/2005,2366
1/12/2005,2384.5
13-01-2005,2401.6
14-01-2005,2418.2
15-01-2005,2434.9
16-01-2005,2451
17-01-2005,2466.3
18-01-2005,2479.7
19-01-2005,2489.3
20-01-2005,2497.7
21-01-2005,2506.1
22-01-2005,2513.9
23-01-2005,2522.3
24-01-2005,2533.5
25-01-2005,2551.2
26-01-2005,2570.8
27-01-2005,2588
28-01-2005,2602
29-01-2005,2614.1
30-01-2005,2626.7
31-01-2005,2636.9
2/1/2005,2640.9
2/2/2005,2648.9
2/3/2005,2654.6
2/4/2005,2661
